index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
x,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    20.90,    6.6742,    8.7673,    9.0069,    1.1116,    1.7034,   -0.6538,   -0.2400,   -0.1000,    0.0700
    21.00,    7.0253,    8.8244,    9.0426,    0.8056,    1.7603,   -0.3644,    0.1000,   -0.1000,    0.0600
    21.10,    6.9437,    8.7651,    9.2494,    1.0343,    1.6925,   -0.4245,   -0.2300,   -0.1200,    0.1500
    21.20,    6.4980,    8.7289,    8.8835,    0.3419,    1.7842,   -0.1132,   -0.1500,   -0.0900,    0.1100
    21.30,    5.9722,    8.7424,    9.0642,   -0.0468,    1.7609,   -0.0768,    0.2400,   -0.1200,   -0.1100
    21.40,    5.5681,    8.7296,    9.0610,    0.2562,    1.7202,   -0.3408,   -0.2900,   -0.1800,   -0.2400
    21.50,    5.5279,    8.7004,    9.2226,    0.7001,    1.8128,   -0.2639,   -0.5350,   -0.1350,   -0.2400
    21.60,    5.3655,    8.6956,    9.1083,    1.0364,    1.8229,   -0.3777,   -0.4100,   -0.1700,   -0.2100
    21.70,    5.9214,    8.7257,    8.9946,    1.3825,    1.7232,   -0.2634,   -0.8450,   -0.1750,   -0.1400
    21.80,    6.5515,    8.7543,    8.9126,    1.9372,    1.7517,   -0.0598,    0.3900,   -0.1600,    0.0300
