index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
    17.40,    6.2771,    9.0844,    8.1686,   -0.0058,   -0.0672,   -1.3694,   -0.3300,   -0.2300,   -0.2600
    17.50,    6.0072,    9.1263,    8.1315,   -0.3025,   -0.1760,   -1.4737,    0.5200,   -0.3700,    0.0300
    17.60,    5.3938,    8.9852,    8.1390,   -0.0644,   -0.1292,   -1.6508,    0.4200,   -0.1300,   -0.0800
    17.70,    4.7813,    8.9593,    8.0592,   -0.5884,   -0.3248,   -1.6393,   -0.2400,   -0.1000,   -0.1100
    17.80,    4.5311,    8.8768,    8.0531,   -0.6975,   -0.3491,   -1.6471,   -0.2500,    0.0300,   -0.0700
    17.90,    4.9283,    8.7724,    8.0116,   -0.7413,   -0.3691,   -1.5703,    0.2200,    0.1800,   -0.0700
    18.00,    5.0332,    9.1329,    7.9627,   -0.8994,   -0.3462,   -1.6654,    0.0600,    0.0500,   -0.0300
    18.10,    4.9931,    9.2551,    7.9460,   -1.2107,   -0.0355,   -1.7030,    0.4200,    0.1250,    0.0050
    18.20,    4.9665,    9.2566,    7.9617,   -1.3422,    0.0394,   -1.7154,   -0.2000,   -0.0300,   -0.0500
    18.30,    5.1780,    9.2706,    7.8838,   -1.6724,    0.0412,   -1.6608,   -0.4300,   -0.0700,   -0.0050
    18.40,    5.4785,    9.1879,    7.8310,   -1.8564,   -0.0972,   -1.7528,   -0.2700,   -0.2300,    0.0700
    18.50,    5.5361,    9.1283,    7.9925,   -1.5715,   -0.0760,   -1.6760,   -0.2800,   -0.1300,    0.0300
    18.60,    5.6821,    9.2191,    8.0610,   -0.9623,   -0.2359,   -1.6533,    0.1600,   -0.1700,   -0.0600
    18.70,    5.7631,    9.1036,    8.1707,   -1.2159,   -0.1076,   -1.6185,    0.2200,   -0.1800,   -0.0600
    18.80,    5.9754,    8.9864,    8.2095,   -1.2041,    0.0348,   -1.5282,   -0.1800,   -0.2300,   -0.0300
    18.90,    5.5521,    8.9980,    8.2131,   -1.0637,    0.1146,   -1.6453,   -0.1500,   -0.1500,   -0.0450
    19.00,    5.5927,    8.7567,    8.2082,   -1.3366,    0.0493,   -1.6922,    0.2800,   -0.3300,   -0.1900
    19.10,    5.8205,    8.8147,    8.1801,   -1.0450,   -0.1039,   -1.6957,    0.3600,   -0.2600,   -0.2500
    19.20,    5.5048,    8.6862,    8.1250,   -1.4328,   -0.0733,   -1.6526,    0.2100,   -0.3000,   -0.2100
    19.30,    5.5738,    8.6584,    8.2248,   -1.1822,   -0.3688,   -1.5085,    0.2400,   -0.2900,   -0.2200
    19.40,    5.5560,    9.1492,    8.0802,   -1.2698,    0.2756,   -1.6937,    0.2500,   -0.2400,   -0.2000
    19.50,    5.4125,    8.8072,    8.0776,   -1.1450,   -0.1297,   -1.6726,    0.3000,   -0.1400,   -0.1800
    19.60,    5.2315,    8.8291,    8.0430,   -0.8894,   -0.1342,   -1.4489,    0.0700,   -0.1100,   -0.0200
    19.70,    5.1904,    8.7591,    8.1523,   -0.8445,   -0.0288,   -1.5851,   -0.0700,   -0.0300,   -0.0200
    19.80,    4.9512,    8.9108,    8.1004,   -0.6958,   -0.0458,   -1.6841,    0.0200,   -0.0800,    0.1000
    19.90,    5.1633,    8.9635,    7.9510,   -0.7980,   -0.0108,   -1.5991,   -0.0400,   -0.1500,    0.1750
    20.00,    5.1084,    8.7424,    7.9859,   -0.2348,   -0.0664,   -1.5058,   -0.4700,   -0.1400,    0.1300
    20.10,    4.7830,    8.7884,    7.9857,   -0.6025,   -0.0643,   -1.5628,   -0.1300,   -0.1500,    0.2300
    20.20,    5.0492,    8.9657,    7.9393,   -0.7977,   -0.2029,   -1.5329,    0.0300,   -0.2300,    0.1300
    20.30,    5.1581,    8.9625,    7.8781,   -0.7559,   -0.0608,   -1.6437,    0.3700,   -0.1100,    0.1650
    20.40,    4.9448,    8.9995,    7.7349,   -0.4116,   -0.0135,   -1.5509,    0.3300,   -0.2600,    0.1600
    20.50,    5.5868,    9.0266,    7.6754,   -0.8243,   -0.0600,   -1.6757,    0.0500,   -0.2100,   -0.0400
    20.60,    6.1384,    9.1197,    7.9622,   -1.2553,   -0.0059,   -1.4873,    0.0600,   -0.0600,   -0.1500
    20.70,    6.5497,    9.1514,    7.8216,   -0.0792,    0.0835,   -1.6186,    0.5900,   -0.1800,   -0.0600
    20.80,    6.7733,    9.1696,    7.9482,   -0.5077,   -0.0069,   -1.4890,    0.2200,   -0.1000,   -0.0900
    20.90,    6.4825,    9.0056,    7.9295,   -0.3439,   -0.0056,   -1.6267,    0.3900,   -0.1800,   -0.1000
    21.00,    6.0954,    9.1285,    7.8706,   -0.0922,    0.0380,   -1.6696,   -0.0100,   -0.1300,   -0.0200
    21.10,    6.4542,    9.1364,    7.9085,   -0.4614,    0.0318,   -1.7753,   -0.0900,   -0.2350,   -0.1350
